graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,199,1383,0,True,False,False
0,1305,199,0,True,False,False
0,199,1305,0,True,False,False
0,652,199,0,True,False,False
0,199,652,0,True,False,False
0,1069,199,0,True,False,False
0,199,1069,0,True,False,False
0,887,790,0,True,False,False
0,790,887,0,True,False,False
0,905,790,0,True,False,False
0,790,905,0,True,False,False
0,1154,790,0,True,False,False
0,790,1154,0,True,False,False
0,686,790,0,True,False,False
0,790,686,0,True,False,False
0,1021,1082,0,True,False,False
0,1082,1021,0,True,False,False
0,491,1082,0,True,False,False
0,1082,491,0,True,False,False
0,216,1082,0,True,False,False
0,1082,216,0,True,False,False
0,803,1082,0,True,False,False
0,1082,803,0,True,False,False
0,1462,361,0,True,False,False
0,361,1462,0,True,False,False
0,831,361,0,True,False,False
0,361,831,0,True,False,False
0,1250,361,0,True,False,False
0,361,1250,0,True,False,False
0,2,361,0,True,False,False
0,361,2,0,True,False,False
0,1318,863,0,True,False,False
0,863,1318,0,True,False,False
0,1444,863,0,True,False,False
0,863,1444,0,True,False,False
0,783,863,0,True,False,False
0,863,783,0,True,False,False
0,1207,863,0,True,False,False
0,863,1207,0,True,False,False
0,887,1255,0,True,False,False
0,1255,887,0,True,False,False
0,11,1255,0,True,False,False
0,1255,11,0,True,False,False
0,1154,1255,0,True,False,False
0,1255,1154,0,True,False,False
0,1150,1255,0,True,False,False
0,1255,1150,0,True,False,False
0,1593,1026,0,True,False,False
0,1026,1593,0,True,False,False
0,1352,1026,0,True,False,False
0,1026,1352,0,True,False,False
0,228,1026,0,True,False,False
0,1026,228,0,True,False,False
0,1572,1026,0,True,False,False
0,1026,1572,0,True,False,False
0,1576,709,0,True,False,False
0,709,1576,0,True,False,False
0,1574,709,0,True,False,False
0,709,1574,0,True,False,False
0,1000,709,0,True,False,False
0,709,1000,0,True,False,False
0,543,709,0,True,False,False
0,709,543,0,True,False,False
0,397,1031,0,True,False,False
0,1031,397,0,True,False,False
0,660,1031,0,True,False,False
0,1031,660,0,True,False,False
0,1576,1031,0,True,False,False
0,1031,1576,0,True,False,False
0,1574,1031,0,True,False,False
0,1031,1574,0,True,False,False
0,1309,945,0,True,False,False
0,945,1309,0,True,False,False
0,574,945,0,True,False,False
0,945,574,0,True,False,False
0,932,945,0,True,False,False
0,945,932,0,True,False,False
0,1608,945,0,True,False,False
0,945,1608,0,True,False,False
0,988,939,0,True,False,False
0,939,988,0,True,False,False
0,914,939,0,True,False,False
0,939,914,0,True,False,False
0,328,939,0,True,False,False
0,939,328,0,True,False,False
0,180,939,0,True,False,False
0,939,180,0,True,False,False
0,1519,1307,0,True,False,False
0,1307,1519,0,True,False,False
0,1046,1307,0,True,False,False
0,1307,1046,0,True,False,False
0,1401,1307,0,True,False,False
0,1307,1401,0,True,False,False
0,1039,1307,0,True,False,False
0,1307,1039,0,True,False,False
0,581,580,0,True,False,False
0,580,581,0,True,False,False
0,604,580,0,True,False,False
0,580,604,0,True,False,False
0,792,580,0,True,False,False
0,580,792,0,True,False,False
0,239,580,0,True,False,False
0,580,239,0,True,False,False
0,993,1273,0,True,False,False
0,1273,993,0,True,False,False
0,1340,1273,0,True,False,False
0,1273,1340,0,True,False,False
0,92,1273,0,True,False,False
0,1273,92,0,True,False,False
0,1489,232,0,True,False,False
0,232,1489,0,True,False,False
0,1519,232,0,True,False,False
0,232,1519,0,True,False,False
0,1379,232,0,True,False,False
0,232,1379,0,True,False,False
0,1046,232,0,True,False,False
0,232,1046,0,True,False,False
0,917,5,0,True,False,False
0,5,917,0,True,False,False
0,1063,5,0,True,False,False
0,5,1063,0,True,False,False
0,901,5,0,True,False,False
0,5,901,0,True,False,False
0,1334,1209,0,True,False,False
0,1209,1334,0,True,False,False
0,216,1209,0,True,False,False
0,1209,216,0,True,False,False
0,803,1209,0,True,False,False
0,1209,803,0,True,False,False
0,1383,1450,0,True,False,False
0,1450,1383,0,True,False,False
0,1069,1450,0,True,False,False
0,1450,1069,0,True,False,False
0,984,1450,0,True,False,False
0,1450,984,0,True,False,False
0,1356,599,0,True,False,False
0,599,1356,0,True,False,False
0,974,599,0,True,False,False
0,599,974,0,True,False,False
0,1449,599,0,True,False,False
0,599,1449,0,True,False,False
0,1551,1155,0,True,False,False
0,1155,1551,0,True,False,False
0,1318,1155,0,True,False,False
0,1155,1318,0,True,False,False
0,1444,1155,0,True,False,False
0,1155,1444,0,True,False,False
0,1427,137,0,True,False,False
0,137,1427,0,True,False,False
0,1408,137,0,True,False,False
0,137,1408,0,True,False,False
0,1499,137,0,True,False,False
0,137,1499,0,True,False,False
0,505,137,0,True,False,False
0,137,505,0,True,False,False
0,1489,1528,0,True,False,False
0,1528,1489,0,True,False,False
0,28,1528,0,True,False,False
0,1528,28,0,True,False,False
0,1046,1528,0,True,False,False
0,1528,1046,0,True,False,False
0,31,1528,0,True,False,False
0,1528,31,0,True,False,False
0,1021,331,0,True,False,False
0,331,1021,0,True,False,False
0,576,331,0,True,False,False
0,331,576,0,True,False,False
0,216,331,0,True,False,False
0,331,216,0,True,False,False
0,363,331,0,True,False,False
0,331,363,0,True,False,False
0,1309,1191,0,True,False,False
0,1191,1309,0,True,False,False
0,574,1191,0,True,False,False
0,1191,574,0,True,False,False
0,1061,1191,0,True,False,False
0,1191,1061,0,True,False,False
0,581,1430,0,True,False,False
0,1430,581,0,True,False,False
0,1612,1430,0,True,False,False
0,1430,1612,0,True,False,False
0,792,1430,0,True,False,False
0,1430,792,0,True,False,False
0,328,61,0,True,False,False
0,61,328,0,True,False,False
0,180,61,0,True,False,False
0,61,180,0,True,False,False
0,1599,61,0,True,False,False
0,61,1599,0,True,False,False
0,1028,763,0,True,False,False
0,763,1028,0,True,False,False
0,831,763,0,True,False,False
0,763,831,0,True,False,False
0,2,763,0,True,False,False
0,763,2,0,True,False,False
0,1490,795,0,True,False,False
0,795,1490,0,True,False,False
0,1574,795,0,True,False,False
0,795,1574,0,True,False,False
0,543,795,0,True,False,False
0,795,543,0,True,False,False
0,1374,1006,0,True,False,False
0,1006,1374,0,True,False,False
0,301,1006,0,True,False,False
0,1006,301,0,True,False,False
0,1350,1006,0,True,False,False
0,1006,1350,0,True,False,False
0,1503,1006,0,True,False,False
0,1006,1503,0,True,False,False
0,303,1006,0,True,False,False
0,1006,303,0,True,False,False
0,914,328,0,True,False,False
0,328,914,0,True,False,False
0,764,328,0,True,False,False
0,328,764,0,True,False,False
0,328,1599,0,True,False,False
0,1599,328,0,True,False,False
0,1318,1551,0,True,False,False
0,1551,1318,0,True,False,False
0,1444,1551,0,True,False,False
0,1551,1444,0,True,False,False
0,91,1551,0,True,False,False
0,1551,91,0,True,False,False
0,303,1599,0,True,False,False
0,1599,303,0,True,False,False
0,180,1599,0,True,False,False
0,1599,180,0,True,False,False
0,1421,1587,0,True,False,False
0,1587,1421,0,True,False,False
0,1203,1587,0,True,False,False
0,1587,1203,0,True,False,False
0,621,1587,0,True,False,False
0,1587,621,0,True,False,False
0,303,1587,0,True,False,False
0,1587,303,0,True,False,False
0,1587,127,0,True,False,False
0,127,1587,0,True,False,False
0,617,1356,0,True,False,False
0,1356,617,0,True,False,False
0,617,974,0,True,False,False
0,974,617,0,True,False,False
0,844,617,0,True,False,False
0,617,844,0,True,False,False
0,337,617,0,True,False,False
0,617,337,0,True,False,False
0,1268,1451,0,True,False,False
0,1451,1268,0,True,False,False
0,1451,402,0,True,False,False
0,402,1451,0,True,False,False
0,53,1451,0,True,False,False
0,1451,53,0,True,False,False
0,921,1451,0,True,False,False
0,1451,921,0,True,False,False
0,1577,1451,0,True,False,False
0,1451,1577,0,True,False,False
0,683,1207,0,True,False,False
0,1207,683,0,True,False,False
0,1207,783,0,True,False,False
0,783,1207,0,True,False,False
0,285,1207,0,True,False,False
0,1207,285,0,True,False,False
